node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,count
mujhse shaadi karogi,romantic comedy film,Mujhse Shaadi Karogi is a romantic comedy film directed by David Dhawan.,c8d8880854f84b3ea685c13c473d2c01,,,,,4
david dhawan,director,David Dhawan is the director of Mujhse Shaadi Karogi.,c8d8880854f84b3ea685c13c473d2c01,,,,,4
sajid nadiadwala,producer,Sajid Nadiadwala produced Mujhse Shaadi Karogi.,c8d8880854f84b3ea685c13c473d2c01,,,,,4
salman khan,actor,"Salman Khan is an actor in Mujhse Shaadi Karogi, playing one of the two men who try to win a woman's heart.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
akshay kumar,actor,"Akshay Kumar is an actor in Mujhse Shaadi Karogi, playing one of the two men who try to win a woman's heart.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
priyanka chopra,actor,"Priyanka Chopra is an actor in Mujhse Shaadi Karogi, playing the woman whose heart the two men are trying to win.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
amrish puri,actor,"Amrish Puri is an actor in Mujhse Shaadi Karogi, appearing in a supporting role.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
kader khan,actor,"Kader Khan is an actor in Mujhse Shaadi Karogi, appearing in a supporting role.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
satish shah,actor,"Satish Shah is an actor in Mujhse Shaadi Karogi, appearing in a supporting role.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
rajpal yadav,actor,"Rajpal Yadav is an actor in Mujhse Shaadi Karogi, appearing in a supporting role.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
goa,setting,Mujhse Shaadi Karogi is primarily set in Goa.,c8d8880854f84b3ea685c13c473d2c01,,,,,4
david dhawan,re-invented himself,"Wanting to re-invent himself, David Dhawan decided to make Mujhse Shaadi Karogi as a deviation from his signature mass-market comedies in look and feel.",c8d8880854f84b3ea685c13c473d2c01,,,,,4
sameer malhotra,roma,Sameer's girlfriend Roma breaks up with him due to his temper issues.,4553949dbc8a45239803dbba49441bc3,,,,,4
sameer malhotra,anger-management issues,"Sameer's anger-management issues cause strained relationships, as seen in the breakup with Roma.",4553949dbc8a45239803dbba49441bc3,,,,,4
sameer malhotra,horoscope,"According to his horoscope, Sameer is unlucky in love, leading him to become a lifeguard in Goa to avoid further relationship issues.",4553949dbc8a45239803dbba49441bc3,,,,,4
sameer malhotra,arun,"Arun is Sameer's best friend and the only person who can calm down his temperament, as mentioned in the context.",4553949dbc8a45239803dbba49441bc3,,,,,4
goa,sameer malhotra,"After becoming a lifeguard in Goa, Sameer tries to escape further relationship issues due to his horoscope.",4553949dbc8a45239803dbba49441bc3,,,,,4
sameer,suraj,"Suraj accuses Sameer of being a thief and asks him about the location of important items, causing Sameer to stay awake all night on the train. Suraj admits to conning Sameer into guarding his luggage and putting him on night guard duty for three months at the resort.",c3cc7763234948888e4fcf09790d62aa,,,,,4
rani,sameer,"Sameer falls in love with Rani after meeting her, but their relationship is strained when Sameer disagrees with Rani's father and she overhears him saying negative things about her to an astrologer.",c3cc7763234948888e4fcf09790d62aa,,,,,4
suraj,rani,"Suraj puts Rani's fiancé, Sameer, on night guard duty for three months at the resort, causing a crimp in their wedding plans.",c3cc7763234948888e4fcf09790d62aa,,,,,4
rani,jugraj singh,"Rani becomes angry with Jugraj Singh when she overhears him saying negative things about her to an astrologer, straining their relationship.",c3cc7763234948888e4fcf09790d62aa,,,,,4
sameer,pandit raj purohit jyotshi,"Sameer disagrees with Pandit Raj Purohit Jyotshi's advice and opinions, causing a rift in their relationship.",c3cc7763234948888e4fcf09790d62aa,,,,,4
suraj,security guard,"Suraj is a security guard at Sameer's resort, putting him in a position of authority over Sameer during the train incident.",c3cc7763234948888e4fcf09790d62aa,,,,,4
sameer,rani,falls in love with,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,sunny,roommate,d9d10789fa8a4682b5fafc86d3638074,,,,,4
rani,sunny,meets and shares room with,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,eagle gang,leader of,d9d10789fa8a4682b5fafc86d3638074,,,,,4
rani,well-wisher,receives money from (anonymous),d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,grandmother's eye surgery,gave saved money for,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,sister's wedding,gave saved money for,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sunny,well-wisher (anonymous),claims to be,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,new year's eve party,reconciles with Rani at,d9d10789fa8a4682b5fafc86d3638074,,,,,4
rani,bar dancer,finds sleeping in Sameer's room,d9d10789fa8a4682b5fafc86d3638074,,,,,4
singh,sameer,accidentally injures while following (on motorcycle),d9d10789fa8a4682b5fafc86d3638074,,,,,4
sunny,rani's dog tommy,kidnaps,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,identical dog,buys and claims to be (original dog),d9d10789fa8a4682b5fafc86d3638074,,,,,4
rani,bar dancer,assumes sexual encounter with Sameer,d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,magnifier (for cold water bath),exposes himself by causing reaction from (dog),d9d10789fa8a4682b5fafc86d3638074,,,,,4
sameer,rani,"Sameer makes another attempt to apologise to Rani and her parents at a cricket stadium where India and Pakistan are playing a friendly match. Sameer asks Rani to marry him in front of the crowd, and Rani runs onto the field and embraces him, thus reuniting with him.",1ba0eb7abaf84b1fb7628e8b79467845,,,,,4
