node_1,node_2,edge,chunk_id,type,count
large stick insect,leads ofelia into an ancient stone labyrinth,"In the fairy tale, a large stick insect leads Ofelia into an ancient stone labyrinth.",9b1268e44f594ab38a0228e108435b33,,4
fairy,transforms into,The large stick insect transforms into a fairy in Ofelia's bedroom.,9b1268e44f594ab38a0228e108435b33,,4
princess moanna,reincarnation,The faun believes that Ofelia is the reincarnation of Princess Moanna in the labyrinth.,9b1268e44f594ab38a0228e108435b33,,4
ofelia,carmen,"mother-daughter relationship, Ofelia completes the first task and gives the mandrake root to Carmen, which seems to ease her illness",3beef4509947417ab2ed5ebd6faccadd,,4
vidal,doctor ferreiro,"collaborates with the Maquis, Vidal kills Doctor Ferreiro after finding out",3beef4509947417ab2ed5ebd6faccadd,,4
carmen,mandrake root,"Ofelia gives Carmen the mandrake root, which seems to ease her illness",3beef4509947417ab2ed5ebd6faccadd,,4
vidal,mercedes,mercedes frees herself and stabs vidal non-lethally in her escape to re-join the maquis. Vidal is taken to be interrogated and locks ofelia in her bedroom while he pursues her as the maquis launch an attack on a civil guard outpost.,f13616728c4547fa9d0569a0b9b68cc7,causal,4
mercedes,ofelia,"mercedes tries to escape with ofelia, but they are caught. The faun returns and tells her to bring her newborn brother into the labyrinth to complete it.",f13616728c4547fa9d0569a0b9b68cc7,causal,4
ofelia,faun,"the faun, having changed his mind about giving ofelia a chance to perform the third task, returns and tells her to bring her newborn brother into the labyrinth to complete it.",f13616728c4547fa9d0569a0b9b68cc7,causal,4
vidal,baby,"vidal finds her talking to the faun, whom he cannot see. The faun leaves, and vidal takes the baby from ofelia's arms before shooting her.",f13616728c4547fa9d0569a0b9b68cc7,causal,4
ofelia,baby,ofelia retrieves the baby and flees into the labyrinth.,f13616728c4547fa9d0569a0b9b68cc7,causal,4
mercedes,ofelia,Mercedes enters the labyrinth and comforts a dying Ofelia.,8d1e5a49446c410fa7549ffd6398b406,,4
ofelia,drops of ofelia's blood,Drops of Ofelia's blood fall down the centre of the spiral stone staircase onto an altar.,8d1e5a49446c410fa7549ffd6398b406,,4
ofelia,golden throne room,"Ofelia, well dressed and uninjured, then appears in a golden throne room.",8d1e5a49446c410fa7549ffd6398b406,,4
faun,ofelia,"The faun praises Ofelia for her choice, addressing her as 'Your Highness'.",8d1e5a49446c410fa7549ffd6398b406,,4
queen of the underworld,ofelia,"The Queen of the underworld, her mother, invites Ofelia to sit next to her father and rule at his side.",8d1e5a49446c410fa7549ffd6398b406,,4
ofelia,back in the stone labyrinth,"Back in the stone labyrinth, Ofelia smiles as she dies.",8d1e5a49446c410fa7549ffd6398b406,,4
princess moanna,underworld,"The epilogue completes the tale of Princess Moanna, stating that she returned to the Underworld,",8d1e5a49446c410fa7549ffd6398b406,,4
