node_1,node_2,edge,chunk_id,description,count
ron howard,a-list directors,"After producer Brian Grazer brought the project to Ron Howard, his long-time professional partner, many A-list directors called with their point of view on the project.",c2479de3c41d4b2d91cb4e46b573bb17,,4
grazer,screenwriters,Grazer met with a number of screenwriters,2b2e7e69f9cf4cd584fb3430469eac6f,,4
grazer,akiva goldsman,Grazer chose Akiva Goldsman because of his strong passion and desire for the project,2b2e7e69f9cf4cd584fb3430469eac6f,,4
nash,love story,Howard asked Goldsman to emphasize the love story of Nash and his wife; she was critical to his being able to continue living at home.,2b2e7e69f9cf4cd584fb3430469eac6f,,4
bayer,mathematical equations,"Dave Bayer, a professor of mathematics at Barnard College, Columbia University, was consulted on the mathematical equations that appear in the film.",2b2e7e69f9cf4cd584fb3430469eac6f,,4
bayer,professor,Bayer received a cameo role in the film as a professor who lays his pen down for Nash in the pen ceremony near the end of the film.,2b2e7e69f9cf4cd584fb3430469eac6f,,4
greg cannom,a beautiful mind,Greg Cannom was chosen to create the makeup effects for A Beautiful Mind.,1367d89939cd4e8188bce36cb67ed49a,,4
russell crowe,makeup,"The production team originally decided that the makeup department would age Russell Crowe throughout the film; however, at Crowe's request, the makeup was used to push his look to resemble the facial features of John Nash.",1367d89939cd4e8188bce36cb67ed49a,,4
crowe,dentures,Crowe was also fitted with a number of dentures to give him a slight overbite in the film.,1367d89939cd4e8188bce36cb67ed49a,,4
chronological order,film production process,"The film was shot 90% chronologically, implying a direct relationship between the concept of chronological order and the film production process.",b9c35d4a312845fba2266442b4b8d7ef,,4
princeton university campus,film location,"Three separate trips were made to the Princeton University campus, indicating that the Princeton University campus is related to the concept of film locations.",b9c35d4a312845fba2266442b4b8d7ef,,4
historic john nash,auditory hallucinations,"The historic John Nash had only auditory hallucinations, linking the person of John Nash with his type of hallucinations.",b9c35d4a312845fba2266442b4b8d7ef,,4
harvard,on-location filming,"(Harvard has turned down most requests for on-location filming ever since the filming of Love Story (1970), which caused significant physical damage to trees on campus.)[14]",b9c35d4a312845fba2266442b4b8d7ef,This relationship highlights the negative connection between Harvard and on-location filming due to damages caused by past filming activities.,4
manhattan university,film location,"Portions of the film set at Harvard were filmed at Manhattan University, implying that Manhattan University is related to film locations as well.",b9c35d4a312845fba2266442b4b8d7ef,,4
john nash,russell crowe,"John Nash was considered for the lead role by Howard, but ultimately Russell Crowe was cast.",26d0c535fa04460eb8ce8670e3f83576,,4
a brilliant madness,pbs documentary,The PBS documentary A Brilliant Madness tried to portray his life more accurately.,26d0c535fa04460eb8ce8670e3f83576,,4
nash,schizophrenic hallucinations,"In the film, Nash has schizophrenic hallucinations while he is in graduate school, but in his life he did not have this experience until some years later.",51c37d754631468a9d0017be68a9db45,,4
nash,alleged homosexual experiences at rand,No mention is made of Nash's alleged homosexual experiences at RAND.,51c37d754631468a9d0017be68a9db45,,4
nash embedding theorem,partial differential equations,"Nash's groundbreaking work in differential geometry and partial differential equations, such as the Nash embedding theorem and his proof of Hilbert's nineteenth problem, were not mentioned in the film but he actually did this work while appointed as C. L. E. Moore instructor at MIT.",337f1de6e0124c798c5b50f6390685c6,,4
mit,nash,"In the movie, Nash was shown joining a fictitious lab called Wheeler Laboratory at MIT. However, in reality, he was appointed as C. L. E. Moore instructor and later as a professor at MIT.",337f1de6e0124c798c5b50f6390685c6,,4
abel prize,nash,"The film did not depict Nash receiving the Abel Prize in 2015, which he actually received for his work in differential geometry and partial differential equations.",337f1de6e0124c798c5b50f6390685c6,,4
princeton,pen ceremony tradition,The so-called pen ceremony tradition at Princeton shown in the film is entirely fictitious.,337f1de6e0124c798c5b50f6390685c6,,4
nash,medication,"In reality, Nash did not take any medication from 1970 onward, contrary to what was portrayed in the film's dialogue.",337f1de6e0124c798c5b50f6390685c6,,4
nash,acceptance speech,"The movie did not depict Nash giving an acceptance speech for his Nobel prize, which actually did not happen.",337f1de6e0124c798c5b50f6390685c6,,4
