node_1,node_2,edge,chunk_id,node_3,node_4,count
pandora,alpha centauri star system,Pandora is a lush habitable moon orbiting a gas giant in the Alpha Centauri star system.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
rda,unobtanium,The RDA mines valuable mineral unobtanium on Pandora.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
na'vi,pandora,"Pandora is inhabited by the Na'vi, a lush habitable moon orbiting a gas giant in the Alpha Centauri star system.",2f215e33e2474a2f9f8abc6509b9d1b0,,,4
avatar program head,dr. grace augustine,Dr. Grace Augustine is the Avatar Program head.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
paraplegic former marine,jake sully,Jake Sully is a paraplegic former Marine.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
jake sully,avatar program,"Jake Sully is recruited by the Avatar Program to replace his deceased identical twin, who had signed up to be an operator.",2f215e33e2474a2f9f8abc6509b9d1b0,,,4
na'vi princess,neytiri,"Jake's avatar is attacked by Pandoran wildlife and flees into the forest, where he is rescued by the Na'vi princess Neytiri.",2f215e33e2474a2f9f8abc6509b9d1b0,,,4
neytiri,clan,Neytiri takes Jake to her clan.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
mo'at,spiritual leader,Mo'at is the spiritual leader of Neytiri's clan.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
colonel miles quaritch,rda's security force,Colonel Miles Quaritch is the head of RDA's security force.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
norm spellman,grace augustine,Dr. Norm Spellman is with Dr. Grace Augustine.,2f215e33e2474a2f9f8abc6509b9d1b0,,,4
grace,outpost,"Grace transfers herself, Jake, and Norm to an outpost.",f3302bc0350541f7b4e33a5f83cb7523,,,4
jake,na'vi site,Jake attempts to disable a bulldozer threatening a sacred Na'vi site.,f3302bc0350541f7b4e33a5f83cb7523,,,4
jake,neytiri,Jake falls in love with Neytiri as Jake is initiated into the tribe.,f3302bc0350541f7b4e33a5f83cb7523,,,4
jake,grace,Jake confesses that he was a spy and the Na'vi take him and Grace captive.,f3302bc0350541f7b4e33a5f83cb7523,,,4
quaritch's soldiers,hometree,"Quaritch's soldiers destroy Hometree, killing many, including Neytiri's father and the clan chief.",f3302bc0350541f7b4e33a5f83cb7523,,,4
trudy chacón,jake,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.",f3302bc0350541f7b4e33a5f83cb7523,Grace,Norm,4
grace,outpost,Grace is shot and fatally wounded while at the outpost.,f3302bc0350541f7b4e33a5f83cb7523,,,4
jake,toruk,"Supported by Neytiri and the new chief Tsu'tey, Jake unites the clan by connecting his mind to that of the Toruk.",f3302bc0350541f7b4e33a5f83cb7523,,,4
jake,eywa,"Before the battle, Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls.",f3302bc0350541f7b4e33a5f83cb7523,,,4
jake,eywa,"Before the battle, Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls.",4f2fd06d9cef4f74876c8282c1f94a6c,,,4
neytiri,jake,"Neytiri saves Jake from suffocation, seeing his human form for the first time.",4f2fd06d9cef4f74876c8282c1f94a6c,,,4
quaritch,jake's avatar,"Quaritch prepares to kill Jake's avatar,",4f2fd06d9cef4f74876c8282c1f94a6c,,,4
