node_1,node_2,edge,chunk_id,node_3,node_4,node_5,count
frodo baggins,the ring,"Frodo Baggins, a young hobbit, continues his quest to destroy the Ring, which continues to weaken and tempt him.",f28263ac807d4005bd26c7d98ee27560,,,,4
elijah wood,frodo baggins,Elijah Wood portrays Frodo Baggins in the film series.,f28263ac807d4005bd26c7d98ee27560,,,,4
ian mckellen,gandalf the white,Ian McKellen portrays Gandalf the White in the film series.,f28263ac807d4005bd26c7d98ee27560,,,,4
aragorn,dúnedain ranger,Aragorn is a Dúnedain ranger.,f28263ac807d4005bd26c7d98ee27560,,,,4
viggo mortensen,aragorn,Viggo Mortensen portrays Aragorn in the film series.,f28263ac807d4005bd26c7d98ee27560,,,,4
sean astin,samwise gamgee,Sean Astin portrays Samwise Gamgee in the film series.,f28263ac807d4005bd26c7d98ee27560,,,,4
sméagol,gollum,Sméagol is a wretched and treacherous creature who was once one of the river-folk (an extinct race of hobbits) and now guides Frodo and Sam into Mordor while seeking the Ring. The first scenes in the film portray him in his former life as Sméagol as well as his deterioration into Gollum.,f28263ac807d4005bd26c7d98ee27560,,,,4
andy serkis,sméagol,Andy Serkis portrays Sméagol in the film series and also voices Gollum.,f28263ac807d4005bd26c7d98ee27560,,,,4
peregrin took,pippin,"Peregrin Took, better known as Pippin, is a cousin of Frodo's who becomes an esquire of Gondor.",f28263ac807d4005bd26c7d98ee27560,,,,4
billy boyd,peregrin took,Billy Boyd portrays Peregrin Took in the film series and also portrays Pippin.,f28263ac807d4005bd26c7d98ee27560,,,,4
meriadoc brandybuck,merry,"Meriadoc Brandybuck, better known as Merry, is a cousin of Frodo's who becomes an esquire of Rohan.",f28263ac807d4005bd26c7d98ee27560,,,,4
dominic monaghan,meriadoc brandybuck,Dominic Monaghan portrays Meriadoc Brandybuck in the film series and also portrays Merry.,f28263ac807d4005bd26c7d98ee27560,,,,4
gimli,dwarf warrior,Gimli is a dwarf warrior and companion to Aragorn along with Legolas.,f28263ac807d4005bd26c7d98ee27560,,,,4
john rhys-davies,gimli,John Rhys-Davies portrays Gimli in the film series and also voices Treebeard.,f28263ac807d4005bd26c7d98ee27560,,,,4
treebeard,ent leader,"Rhys-Davies also voices Treebeard, the ent leader.",f28263ac807d4005bd26c7d98ee27560,,,,4
john rhys-davies,gimli,"Actor John Rhys-Davies portrays the character of Gimli, a dwarf warrior and companion to Aragorn in 'The Lord of the Rings' trilogy.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
john rhys-davies,treebeard,"Apart from playing Gimli, John Rhys-Davies also gave voice to Treebeard, the ent leader in 'The Lord of the Rings'.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
orlando bloom,legolas,"Actor Orlando Bloom essayed the role of Legolas, an elven prince of Mirkwood and skilled archer in 'The Lord of the Rings'.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
bernard hill,théoden,"In 'The Lord of the Rings', Bernard Hill portrayed Théoden, the King of Rohan.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
miranda otto,éowyn,"Actress Miranda Otto played Éowyn, Théoden's niece and a warrior woman who wishes to prove herself in battle in 'The Lord of the Rings'.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
miranda otto,aragorn,"In 'The Lord of the Rings: The Return of the King', Miranda Otto's character Éowyn falls in love with Aragorn, but he does not reciprocate her feelings.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
david wenham,faramir,"In 'The Lord of the Rings: The Two Towers', David Wenham played Faramir, a son of the Stewards of Gondor and head of the Gondorian Rangers defending Osgiliath.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
karl urban,éomer,"Actor Karl Urban depicted Éomer, Éowyn's brother and Chief Marshal of the Riders of Rohan who serves as his uncle's heir in 'The Lord of the Rings'.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
hugo weaving,elrond,"In 'The Lord of the Rings: The Fellowship of the Ring', Hugo Weaving portrayed Elrond, the Lord of Rivendell.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
liv tyler,arwen,"Actress Liv Tyler appeared as Arwen, Elrond's daughter and Aragorn's true love in 'The Lord of the Rings'.",72fc22c4b18c46bcafe1a5c4387d9e0b,,,,4
