Question,Answer
"Was Grown Ups 2 filmed in Stanton, Connecticut?",No
"Was Grown Ups 2 filmed in Stanton, Connecticut?",No
"Was *Grown Ups 2* filmed in Stanton, Connecticut?",NO
Was Steve Austin involved in the distribution of *Grown Ups 2*?,No
Was *Steve Austin* involved in the production of *Grown Ups 2*?,No
Was *Steve Austin* involved in the filming of *Grown Ups 2*?,No
Was *Grown Ups 2* distributed by Columbia Pictures?,Yes
Was *Grown Ups 2* produced by Happy Madison Productions?,Yes
"Was Michael Kay involved in the filming of Grown Ups 2 in Swampscott, Massachusetts?",No
Was Shaquille O'Neal a cop in *Grown Ups 2*?,Yes
Was *Happy Madison Productions* involved in producing the film *Grown Ups 2*?,Yes
Was Shaquille O'Neal a cop in the movie *Grown Ups 2*?,Yes
