node_1,node_2,node_3,edge_1,edge_2
facebook,thefacebook,harvard university,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students.","When the Winklevoss twins and Narendra learned of Thefacebook, they believed that it was exclusive to Ivy League students, indicating a relationship between Thefacebook and Harvard University."
facebook,thefacebook,ivy league students,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students.","When the Winklevoss twins and Narendra learned of Thefacebook, they believed that it was exclusive to Ivy League students, indicating a relationship between Thefacebook and Ivy League students."
facebook,thefacebook,harvard university,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students.","When the Winklevoss twins and Narendra learned of Thefacebook, they believed that it was created by Mark Zuckerberg while he was still a student at Harvard University, indicating a relationship between Thefacebook and Harvard University."
yale,facebook,thefacebook,Zuckerberg expanded Facebook to include Yale students.,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students."
columbia,facebook,thefacebook,Zuckerberg expanded Facebook to include Columbia students.,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students."
stanford,facebook,thefacebook,Zuckerberg expanded Facebook to include Stanford students.,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students."
palo alto,facebook,thefacebook,"Parker advised Zuckerberg to relocate Facebook to Palo Alto, which he did.","Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students."
henley royal regatta,winklevoss twins,zuckerberg,The Winklevoss twins competed in the Henley Royal Regatta for Harvard and discovered that Facebook had expanded to Europe.,The Winklevoss twins claim that Zuckerberg stole their idea
intellectual property theft,facebook,thefacebook,The Winklevoss twins accused Facebook of intellectual property theft related to its expansion to Europe.,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students."
saverin,zuckerberg,albright,"Saverin becomes enraged when he discovers that the new investment deal allows his share of Facebook to be diluted from 34% to 0.03%, without diluting the ownership percentage of any other owner. He confronts Zuckerberg and Parker, and Saverin vows to sue Zuckerberg. Later, in separate depositions, Saverin claims his shares of Facebook were unfairly diluted when the company was incorporated.","Alone, Zuckerberg sends a Facebook friend request to Albright and repeatedly refreshes the page."
parker,saverin,zuckerberg,"Parker tells him that he is no longer a part of Facebook and has security eject him from the building after Saverin's name had already been removed from the masthead as co-founder and CFO, and Saverin vows to sue Zuckerberg.","Saverin becomes enraged when he discovers that the new investment deal allows his share of Facebook to be diluted from 34% to 0.03%, without diluting the ownership percentage of any other owner. He confronts Zuckerberg and Parker, and Saverin vows to sue Zuckerberg. Later, in separate depositions, Saverin claims his shares of Facebook were unfairly diluted when the company was incorporated."
winklevoss twins,zuckerberg,albright,The Winklevoss twins claim that Zuckerberg stole their idea,"Alone, Zuckerberg sends a Facebook friend request to Albright and repeatedly refreshes the page."
delpy,zuckerberg,albright,Marylin Delpy informs Zuckerberg that they will settle with Saverin since the sordid details of Facebook's founding and Zuckerberg's callous attitude will make him unsympathetic to a jury,"Alone, Zuckerberg sends a Facebook friend request to Albright and repeatedly refreshes the page."
