node_1,node_2,node_3,edge_1,edge_2
nasa,cooper,endurance team,Cooper was a former NASA test pilot,Cooper joins the Endurance team to search for habitable planets
nasa,cooper,endurance spaceship,Cooper was a former NASA test pilot,"Cooper, the commander of the Endurance spaceship, leads the mission to search for a new home for humanity."
nasa,cooper,murph,Cooper was a former NASA test pilot,"In the context, Cooper reunites with Murph on her deathbed."
cooper,endurance team,"scientists romilly, doyle, amelia brand, and robots tars and case",Cooper joins the Endurance team to search for habitable planets,"Endurance team consists of scientists Romilly, Doyle, Amelia Brand, and robots TARS and CASE"
cooper,endurance team,planetary system,Cooper joins the Endurance team to search for habitable planets,Endurance team arrives at a planetary system
cooper,endurance team,ocean world,Cooper joins the Endurance team to search for habitable planets,Endurance team descends into the gravity well to survey an inhospitable ocean world
cooper,endurance team,time dilation,Cooper joins the Endurance team to search for habitable planets,Endurance team loses 23 Earth-years due to severe time dilation caused by escaping the gravity well
endurance team,planetary system,gargantua,Endurance team arrives at a planetary system,planetary system consists of a supermassive black hole named Gargantua
brand's father,murph,childhood home,Brand's father works with Murph,Murph visits her childhood home
brand's father,murph,cooper's daughter,Brand's father works with Murph,"Cooper's daughter, Murph, wonders if Cooper knowingly abandoned her, but later helps complete Brand's equation."
brand's father,murph,cooper,Brand's father works with Murph,"In the context, Cooper reunites with Murph."
o'neill cylinder colony,tars,o'neill cylinder colony,"In the year 2156, TARS is rescued by an O'Neill cylinder colony.","In the year 2156, TARS is rescued by an O'Neill cylinder colony."
cooper,murph,childhood home,"In the context, Cooper reunites with Murph on her deathbed.",Murph visits her childhood home
cooper,murph,cooper's daughter,"In the context, Cooper reunites with Murph on her deathbed.","Cooper's daughter, Murph, wonders if Cooper knowingly abandoned her, but later helps complete Brand's equation."
cooper,murph,cooper,"In the context, Cooper reunites with Murph on her deathbed.","In the context, Cooper reunites with Murph."
murph,cooper,endurance team,"In the context, Cooper reunites with Murph.",Cooper joins the Endurance team to search for habitable planets
murph,cooper,endurance spaceship,"In the context, Cooper reunites with Murph.","Cooper, the commander of the Endurance spaceship, leads the mission to search for a new home for humanity."
murph,cooper,murph,"In the context, Cooper reunites with Murph.","In the context, Cooper reunites with Murph on her deathbed."
tars,o'neill cylinder colony,tars,"In the year 2156, TARS is rescued by an O'Neill cylinder colony.","In the year 2156, TARS is rescued by an O'Neill cylinder colony."
