node_1,node_2,node_3,edge_1,edge_2
damien chazelle,whiplash,psychological drama,Damien Chazelle wrote and directed the film Whiplash.,Whiplash is a psychological drama film.
damien chazelle,whiplash,2014,Damien Chazelle wrote and directed the film Whiplash.,Whiplash was released in 2014.
damien chazelle,whiplash,american,Damien Chazelle wrote and directed the film Whiplash.,Whiplash is an American film.
damien chazelle,whiplash,simmons,Damien Chazelle wrote and directed the film Whiplash.,"Simmons delivers a captivating performance in the film 'Whiplash', which showcases his character's profanity and unconventional behavior. The character is complex and compelling, making him an exciting co-lead part for Simmons."
damien chazelle,whiplash,chazelle's direction and editing,Damien Chazelle wrote and directed the film Whiplash.,"Chazelle's direction and editing in 'Whiplash' are sharp, gripping, and beautifully edited by Tom Cross. The film has a rhythm that is both informative and patient with its characters and the things that matter to them."
damien chazelle,whiplash,fletcher,Damien Chazelle wrote and directed the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius."
damien chazelle,whiplash,cinema,Damien Chazelle wrote and directed the film Whiplash.,"In 'Whiplash', Chazelle doesn't honor neither jazz nor cinema."
damien chazelle,whiplash,jazz,Damien Chazelle wrote and directed the film Whiplash.,The New Yorker critic Richard Brody stated that the film 'Whiplash' does not honor jazz.
miles teller,whiplash,psychological drama,Miles Teller starred in the film Whiplash.,Whiplash is a psychological drama film.
miles teller,whiplash,2014,Miles Teller starred in the film Whiplash.,Whiplash was released in 2014.
miles teller,whiplash,american,Miles Teller starred in the film Whiplash.,Whiplash is an American film.
miles teller,whiplash,simmons,Miles Teller starred in the film Whiplash.,"Simmons delivers a captivating performance in the film 'Whiplash', which showcases his character's profanity and unconventional behavior. The character is complex and compelling, making him an exciting co-lead part for Simmons."
miles teller,whiplash,chazelle's direction and editing,Miles Teller starred in the film Whiplash.,"Chazelle's direction and editing in 'Whiplash' are sharp, gripping, and beautifully edited by Tom Cross. The film has a rhythm that is both informative and patient with its characters and the things that matter to them."
miles teller,whiplash,fletcher,Miles Teller starred in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius."
miles teller,whiplash,cinema,Miles Teller starred in the film Whiplash.,"In 'Whiplash', Chazelle doesn't honor neither jazz nor cinema."
miles teller,whiplash,jazz,Miles Teller starred in the film Whiplash.,The New Yorker critic Richard Brody stated that the film 'Whiplash' does not honor jazz.
j. k. simmons,whiplash,psychological drama,J. K. Simmons appeared in the film Whiplash.,Whiplash is a psychological drama film.
j. k. simmons,whiplash,2014,J. K. Simmons appeared in the film Whiplash.,Whiplash was released in 2014.
j. k. simmons,whiplash,american,J. K. Simmons appeared in the film Whiplash.,Whiplash is an American film.
j. k. simmons,whiplash,simmons,J. K. Simmons appeared in the film Whiplash.,"Simmons delivers a captivating performance in the film 'Whiplash', which showcases his character's profanity and unconventional behavior. The character is complex and compelling, making him an exciting co-lead part for Simmons."
j. k. simmons,whiplash,chazelle's direction and editing,J. K. Simmons appeared in the film Whiplash.,"Chazelle's direction and editing in 'Whiplash' are sharp, gripping, and beautifully edited by Tom Cross. The film has a rhythm that is both informative and patient with its characters and the things that matter to them."
j. k. simmons,whiplash,fletcher,J. K. Simmons appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius."
j. k. simmons,whiplash,cinema,J. K. Simmons appeared in the film Whiplash.,"In 'Whiplash', Chazelle doesn't honor neither jazz nor cinema."
j. k. simmons,whiplash,jazz,J. K. Simmons appeared in the film Whiplash.,The New Yorker critic Richard Brody stated that the film 'Whiplash' does not honor jazz.
paul reiser,whiplash,psychological drama,Paul Reiser appeared in the film Whiplash.,Whiplash is a psychological drama film.
paul reiser,whiplash,2014,Paul Reiser appeared in the film Whiplash.,Whiplash was released in 2014.
paul reiser,whiplash,american,Paul Reiser appeared in the film Whiplash.,Whiplash is an American film.
