node_1,node_2,node_3,edge_1,edge_2
alfred pennyworth,bruce wayne,fear of bats,"After the murder of Bruce Wayne's parents, Alfred Pennyworth becomes his devoted butler and raises him as a surrogate son.","At a young age, Bruce Wayne developed a fear of bats after falling down a well and being swarmed by them. This fear is later triggered at the opera when performers dressed as bats disturb him."
alfred pennyworth,bruce wayne,parents,"After the murder of Bruce Wayne's parents, Alfred Pennyworth becomes his devoted butler and raises him as a surrogate son.",Bruce Wayne's parents are murdered by mugger Joe Chill in front of him while they were out at the opera.
alfred pennyworth,bruce wayne,joe chill,"After the murder of Bruce Wayne's parents, Alfred Pennyworth becomes his devoted butler and raises him as a surrogate son.","After witnessing the murder of his parents as a child, Bruce Wayne vows to avenge their deaths by taking the life of Joe Chill."
alfred pennyworth,bruce wayne,league of shadows,"After the murder of Bruce Wayne's parents, Alfred Pennyworth becomes his devoted butler and raises him as a surrogate son.","After completing his training with the League of Shadows, Bruce Wayne rejects their methods and escapes from their temple, causing it to collapse and killing Ra's al Ghul in the process."
bruce wayne,joe chill,carmine falcone,"After witnessing the murder of his parents as a child, Bruce Wayne vows to avenge their deaths by taking the life of Joe Chill.","After testifying against Carmine Falcone in court, Joe Chill is released on parole. However, he later becomes a victim of Falcone's hitmen."
rachel dawes,bruce wayne,fear of bats,"As childhood friends, Rachel Dawes and Bruce Wayne have a close relationship. However, she becomes critical of his methods when he takes the law into his own hands.","At a young age, Bruce Wayne developed a fear of bats after falling down a well and being swarmed by them. This fear is later triggered at the opera when performers dressed as bats disturb him."
rachel dawes,bruce wayne,parents,"As childhood friends, Rachel Dawes and Bruce Wayne have a close relationship. However, she becomes critical of his methods when he takes the law into his own hands.",Bruce Wayne's parents are murdered by mugger Joe Chill in front of him while they were out at the opera.
rachel dawes,bruce wayne,joe chill,"As childhood friends, Rachel Dawes and Bruce Wayne have a close relationship. However, she becomes critical of his methods when he takes the law into his own hands.","After witnessing the murder of his parents as a child, Bruce Wayne vows to avenge their deaths by taking the life of Joe Chill."
rachel dawes,bruce wayne,league of shadows,"As childhood friends, Rachel Dawes and Bruce Wayne have a close relationship. However, she becomes critical of his methods when he takes the law into his own hands.","After completing his training with the League of Shadows, Bruce Wayne rejects their methods and escapes from their temple, causing it to collapse and killing Ra's al Ghul in the process."
henri ducard,bruce wayne,fear of bats,"While in prison, Henri Ducard approaches Bruce Wayne and recruits him to join the League of Shadows, a group dedicated to destroying corrupt cities like Gotham.","At a young age, Bruce Wayne developed a fear of bats after falling down a well and being swarmed by them. This fear is later triggered at the opera when performers dressed as bats disturb him."
henri ducard,bruce wayne,parents,"While in prison, Henri Ducard approaches Bruce Wayne and recruits him to join the League of Shadows, a group dedicated to destroying corrupt cities like Gotham.",Bruce Wayne's parents are murdered by mugger Joe Chill in front of him while they were out at the opera.
henri ducard,bruce wayne,joe chill,"While in prison, Henri Ducard approaches Bruce Wayne and recruits him to join the League of Shadows, a group dedicated to destroying corrupt cities like Gotham.","After witnessing the murder of his parents as a child, Bruce Wayne vows to avenge their deaths by taking the life of Joe Chill."
henri ducard,bruce wayne,league of shadows,"While in prison, Henri Ducard approaches Bruce Wayne and recruits him to join the League of Shadows, a group dedicated to destroying corrupt cities like Gotham.","After completing his training with the League of Shadows, Bruce Wayne rejects their methods and escapes from their temple, causing it to collapse and killing Ra's al Ghul in the process."
bruce wayne,league of shadows,ra's al ghul,"After completing his training with the League of Shadows, Bruce Wayne rejects their methods and escapes from their temple, causing it to collapse and killing Ra's al Ghul in the process.","The leader of the League of Shadows is Ra's al Ghul, who believes that Gotham City is beyond saving and must be destroyed."
rachel,crane,ra's al ghul,mentioned in the same context as Crane's drug is given to Rachel at Bruce's birthday party,"While being interrogated, Crane claims to work for Ra's al Ghul."
