node_1,node_2,node_3,edge_1,edge_2
na'vi,pandora,alpha centauri star system,"Pandora is inhabited by the Na'vi, a lush habitable moon orbiting a gas giant in the Alpha Centauri star system.",Pandora is a lush habitable moon orbiting a gas giant in the Alpha Centauri star system.
paraplegic former marine,jake sully,avatar program,Jake Sully is a paraplegic former Marine.,"Jake Sully is recruited by the Avatar Program to replace his deceased identical twin, who had signed up to be an operator."
na'vi princess,neytiri,clan,"Jake's avatar is attacked by Pandoran wildlife and flees into the forest, where he is rescued by the Na'vi princess Neytiri.",Neytiri takes Jake to her clan.
na'vi princess,neytiri,jake,"Jake's avatar is attacked by Pandoran wildlife and flees into the forest, where he is rescued by the Na'vi princess Neytiri.","Neytiri saves Jake from suffocation, seeing his human form for the first time."
jake,neytiri,clan,Jake falls in love with Neytiri as Jake is initiated into the tribe.,Neytiri takes Jake to her clan.
jake,neytiri,jake,Jake falls in love with Neytiri as Jake is initiated into the tribe.,"Neytiri saves Jake from suffocation, seeing his human form for the first time."
jake,grace,outpost,Jake confesses that he was a spy and the Na'vi take him and Grace captive.,"Grace transfers herself, Jake, and Norm to an outpost."
jake,grace,outpost,Jake confesses that he was a spy and the Na'vi take him and Grace captive.,Grace is shot and fatally wounded while at the outpost.
trudy chacón,jake,na'vi site,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.",Jake attempts to disable a bulldozer threatening a sacred Na'vi site.
trudy chacón,jake,neytiri,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.",Jake falls in love with Neytiri as Jake is initiated into the tribe.
trudy chacón,jake,grace,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.",Jake confesses that he was a spy and the Na'vi take him and Grace captive.
trudy chacón,jake,toruk,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.","Supported by Neytiri and the new chief Tsu'tey, Jake unites the clan by connecting his mind to that of the Toruk."
trudy chacón,jake,eywa,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.","Before the battle, Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls."
trudy chacón,jake,eywa,"Pilot Trudy Chacón, disgusted by Quaritch's brutality, airlifts Jake, Grace, and Norm to Grace's outpost.","Before the battle, Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls."
neytiri,jake,na'vi site,"Neytiri saves Jake from suffocation, seeing his human form for the first time.",Jake attempts to disable a bulldozer threatening a sacred Na'vi site.
neytiri,jake,neytiri,"Neytiri saves Jake from suffocation, seeing his human form for the first time.",Jake falls in love with Neytiri as Jake is initiated into the tribe.
neytiri,jake,grace,"Neytiri saves Jake from suffocation, seeing his human form for the first time.",Jake confesses that he was a spy and the Na'vi take him and Grace captive.
neytiri,jake,toruk,"Neytiri saves Jake from suffocation, seeing his human form for the first time.","Supported by Neytiri and the new chief Tsu'tey, Jake unites the clan by connecting his mind to that of the Toruk."
neytiri,jake,eywa,"Neytiri saves Jake from suffocation, seeing his human form for the first time.","Before the battle, Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls."
neytiri,jake,eywa,"Neytiri saves Jake from suffocation, seeing his human form for the first time.","Before the battle, Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls."
