node_1,node_2,node_3,edge_1,edge_2
rafi gavron,rafi gavron,rafi gavron,"Rafi Gavron plays the character of Rafi Gavron, a music producer and Ally's manager.","Rafi Gavron plays the character of Rafi Gavron, a music producer and Ally's manager."
anthony ramos,anthony ramos,anthony ramos,"Anthony Ramos portrays Anthony Ramos, Ally's friend.","Anthony Ramos portrays Anthony Ramos, Ally's friend."
shangela,shangela,shangela,Shangela appears as the drag bar MC.,Shangela appears as the drag bar MC.
willam belli,willam belli,willam belli,"Willam Belli portrays Emerald, a drag queen.","Willam Belli portrays Emerald, a drag queen."
lukas nelson & promise of the real,lukas nelson & promise of the real,lukas nelson & promise of the real,Lukas Nelson & Promise of the Real appear as Jackson's band.,Lukas Nelson & Promise of the Real appear as Jackson's band.
don was,don was,don was,Don Was is a member of Lukas Nelson & Promise of the Real.,Don Was is a member of Lukas Nelson & Promise of the Real.
victor indrizzo,victor indrizzo,victor indrizzo,Victor Indrizzo is a member of Lukas Nelson & Promise of the Real.,Victor Indrizzo is a member of Lukas Nelson & Promise of the Real.
lenny castro,lenny castro,lenny castro,Lenny Castro is a member of Lukas Nelson & Promise of the Real.,Lenny Castro is a member of Lukas Nelson & Promise of the Real.
marlon williams,marlon williams,marlon williams,Marlon Williams cameoed as himself in the movie.,Marlon Williams cameoed as himself in the movie.
brandi carlile,brandi carlile,brandi carlile,Brandi Carlile cameoed as herself in the movie.,Brandi Carlile cameoed as herself in the movie.
alec baldwin,alec baldwin,alec baldwin,Alec Baldwin cameoed as himself in the movie.,Alec Baldwin cameoed as himself in the movie.
halsey,halsey,halsey,Halsey cameoed as herself in the movie.,Halsey cameoed as herself in the movie.
don roy king,don roy king,don roy king,Don Roy King cameoed as himself in the movie.,Don Roy King cameoed as himself in the movie.
