node_1,node_2,node_3,edge_1,edge_2
cobb,saito,cobb,Cobb is hired by Saito for a new job.,"In the given context, there is an agreement between Cobb and Saito that is fulfilled in Limbo. Cobb finds an aged Saito in Limbo and reminds him of their agreement."
cobb,saito,phone,Cobb is hired by Saito for a new job.,"In the given context, Saito makes a phone call after waking up from the dream."
cobb,arthur,water,Cobb and Arthur are extractors who perform corporate espionage together.,"In the given context, Arthur hits the water while Eames synchronizes his kick with an elevator rigged with explosives to improvise a new set of kicks."
eames,cobb,saito,Eames is part of Cobb's team for the new job.,Cobb is hired by Saito for a new job.
eames,cobb,arthur,Eames is part of Cobb's team for the new job.,Cobb and Arthur are extractors who perform corporate espionage together.
eames,cobb,mal,Eames is part of Cobb's team for the new job.,"Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job."
eames,cobb,mal,Eames is part of Cobb's team for the new job.,"Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same."
eames,cobb,robert,Eames is part of Cobb's team for the new job.,"Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious."
eames,cobb,top,Eames is part of Cobb's team for the new job.,"In the given context, Cobb uses Mal's spinning top as a test to determine if he is in the real world. However, he chooses not to observe the result and instead joins his children."
eames,cobb,father-in-law,Eames is part of Cobb's team for the new job.,"In the given context, Cobb's father-in-law accompanies him to his home after waking from the dream."
yusuf,cobb,saito,Yusuf is part of Cobb's team for the new job.,Cobb is hired by Saito for a new job.
yusuf,cobb,arthur,Yusuf is part of Cobb's team for the new job.,Cobb and Arthur are extractors who perform corporate espionage together.
yusuf,cobb,mal,Yusuf is part of Cobb's team for the new job.,"Cobb's late wife, Mal, appears in his mind's projection and poses a risk during the new job."
yusuf,cobb,mal,Yusuf is part of Cobb's team for the new job.,"Mal still believed she was dreaming after waking up, as Cobb fled the U.S., leaving his children behind and framing him for her murder to force him to do the same."
yusuf,cobb,robert,Yusuf is part of Cobb's team for the new job.,"Cobb persuades Robert that Browning has kidnapped him to stop the dissolution and that Cobb is a defensive projection, leading Robert to another third level deeper as part of a ruse to enter Robert's subconscious."
