Question,Answer,LLAMA_response
"[""Does 'The Kissing Booth 3', released in 2021, lack a summary providing a brief description of the plot or storyline?""]",no,yes
"[""Does the movie 'The Kissing Booth 3', which came out in 2021, have a summary providing a brief description of its plot or storyline?""]",yes,yes
"""Did Joey King not play the character Elle in the 2021 movie, The Kissing Booth 3?""",no,no
"""Did Joey King star as Elle in the movie The Kissing Booth 3 released in 2021?""",yes,yes
"""Did Joel Courtney not play the role of Noah in the 2021 movie 'The Kissing Booth 3'?""",no,no
"""Did Joel Courtney star as Noah in the movie 'The Kissing Booth 3' released in 2021?""",yes,no
"""Did Jacob Elordi not play the character Marco in the 2021 movie, The Kissing Booth 3?""",no,no
"""Did Jacob Elordi, who played Marco in the previous movies, appear in The Kissing Booth 3 released in 2021?""",yes,no
"[""Did Taylor Zakhar Perez play the character Rachel in the movie 'The Kissing Booth 3' released in 2021?""]",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', was Taylor Zakhar Perez's role named after a different character other than Rachel?""]",no,yes
"""Did Maisie Richardson-Sellers not return as Lee in the 2021 movie, 'The Kissing Booth 3'?""",no,no
"""Did Maisie Richardson-Sellers return as Lee in the 2021 movie, 'The Kissing Booth 3'?""",yes,yes
"[""Did Molly Ringwald play the role of Elle's mother in the 2021 movie, 'The Kissing Booth 3'?""]",no,no
"[""Did Molly Ringwald play the character of Rachel's mother in 'The Kissing Booth 3' released in 2021?""]",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', does Elle remain oblivious to Marco's feelings for her throughout their time at the waterpark?""]",yes,yes
"[""In 'The Kissing Booth 3' released in 2021, does Marco get a job in the area where Elle and Noah are spending their time?""]",no,yes
"[""In the 2021 movie 'The Kissing Booth 3', does Elle refuse to reconcile with Noah?""]",no,yes
"[""In 'The Kissing Booth 3', released in 2021, does Noah encourage Elle to accept her father's new girlfriend, Linda?""]",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', does Elle's father's new girlfriend, Linda, replace Elle's late mother?""]",no,yes
"[""In 'The Kissing Booth 3', released in 2021, does Chloe encourage Noah to talk to Elle after she struggles with accepting her father's new girlfriend?""]",yes,no
"""In the 2021 movie 'The Kissing Booth 3', did Elle's father start dating Linda only for his own pride, as Elle accused him of doing?""",no,yes
"""In 'The Kissing Booth 3', released in 2021, does Elle's father recount the sacrifices he has made for her and her brother Brad during their argument?""",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', does Marco tell Elle that he no longer has feelings for her?""]",no,yes
"[""In 'The Kissing Booth 3', released in 2021, does Marco fight with Noah at the Fourth of July party?""]",yes,no
"[""Did Lee and Elle play Dance Dance Revolution together in the 2021 movie 'The Kissing Booth 3' as per their bucket list?""]",no,no
"[""In the movie 'The Kissing Booth 3', released in 2021, did Elle tell Lee to grow up during an argument?""]",yes,yes
"""Is 'The Kissing Booth 3', released in 2021, a movie in which Elle and Noah never go on a motorcycle ride?""",no,yes
"""Does 'The Kissing Booth 3', released in 2021, feature a scene where Elle and Noah go on a motorcycle ride while being back in town?""",yes,yes
"[""Did Elle and Noah remain together at the end of 'The Kissing Booth 3', released in 2021?""]",no,no
"[""Are Elle and Noah related characters in the 2021 movie 'The Kissing Booth 3'?""]",yes,yes
"""In the 2021 movie 'The Kissing Booth 3', does Elle never visit the California coastline?""",no,yes
"""In 'The Kissing Booth 3' released in 2021, does Elle have fun riding down the California coastline with Noah?""",yes,no
"""In the 2021 movie 'The Kissing Booth 3', did Elle never laugh while riding motorcycles?""",no,no
"""In 'The Kissing Booth 3' released in 2021, is Elle involved in an action related to laughing while riding motorcycles?""",yes,no
"""Was 'The Kissing Booth 3', released in 2021, secretly shot back-to-back with the second film in South Africa in December 2020?""",no,no
"""Is it correct to say that 'The Kissing Booth 3', which was released in 2021, had been secretly shot back-to-back with the second film in South Africa in July 2020?""",yes,no
"""Was 'The Kissing Booth 3', released in 2021, filmed in a location other than South Africa?""",no,yes
"""Is 'The Kissing Booth 3', which was released in 2021, associated with the location South Africa due to its filming location?""",yes,no
"[""Was 'The Kissing Booth 3' released in theaters in 2021 instead of on Netflix?""]",no,no
