Question,Answer,LLAMA_response
"""In the 2006 movie 'Basic Instinct 2', did Superintendent Washburn leave the scene before Glass could shoot him?""",no,yes
"""In 'Basic Instinct 2', released in 2006, does Glass point the gun at Tramell after shooting Superintendent Washburn?""",yes,no
"[""In the 2006 movie 'Basic Instinct 2', does Glass shoot Tramell instead of Superintendent Washburn?""]",no,no
"[""In 'Basic Instinct 2' released in 2006, is it correct that Glass points the gun at Tramell after shooting Superintendent Washburn?""]",yes,yes
"[""Did the character Glass in the movie 'Basic Instinct 2' released in 2006 remain unaffected and not end up in a mental institution?""]",no,yes
"[""In the 2006 movie 'Basic Instinct 2', does Tramell visit an institutionalised Glass at a mental hospital at some point in the plot?""]",yes,yes
"[""In the 2006 movie 'Basic Instinct 2', does the character Tramell never visit Glass in a mental hospital?""]",no,yes
"[""In 'Basic Instinct 2' released in 2006, is Glass visited by Tramell at a mental hospital?""]",yes,no
"[""Did Tramell fail to make her novel a best seller in the 2006 movie 'Basic Instinct 2'?""]",no,yes
"[""In the 2006 movie 'Basic Instinct 2', did Tramell inform Glass that her novel has become a best seller?""]",yes,yes
,,0.4
