Question,Answer,LLAMA_response
"Does the term 'summary' in the context of ""BloodRayne 2006"" refer to the cast list of the movie?",no,yes
"In the context of ""BloodRayne 2006"", does the term 'summary' represent an essential aspect of the movie's description?",yes,yes
"Is Rayne from ""BloodRayne 2006"" a full-blooded vampire?",no,yes
"In the movie ""BloodRayne 2006"", is Rayne a dhampir, an unholy breed of human and vampire?",yes,yes
"[""Is the character 'BloodRayne' from the movie 'BloodRayne 2006' not related to any video game?""]",no,yes
"[""Is the character 'BloodRayne' from the movie 'BloodRayne 2006' a video game character?""]",yes,yes
"[""Is Belial a modern vampire in the movie 'BloodRayne 2006'?""]",no,yes
"[""In the movie 'BloodRayne 2006', is Belial named as an ancient vampire?""]",yes,yes
"[""Is the artifact in the movie 'BloodRayne 2006' unrelated to any body parts?""]",no,yes
"[""Does the artifact in 'BloodRayne 2006' come from an ancient vampire called Belial?""]",yes,yes
"[""Is Rayne's relationship with Kagan in the movie 'BloodRayne 2006' friendly?""]",no,yes
"[""In the movie 'BloodRayne 2006', does Rayne avenge her father's death by killing Kagan?""]",yes,yes
"[""Is Sebastian the mother of Rayne in the movie BloodRayne 2006?""]",no,yes
"[""In the movie BloodRayne 2006, is there a father-daughter relationship between Sebastian and Rayne?""]",yes,yes
"Did Guinevere Turner and Uwe Boll have a competitive relationship in the movie ""BloodRayne 2006""?",no,yes
"In the movie ""BloodRayne 2006"", did director Uwe Boll and screenwriter Guinevere Turner have a collaborative relationship?",yes,yes
"[""Is the movie 'BloodRayne 2006' directed by Billy Zane?""]",no,yes
"[""Does the movie 'BloodRayne 2006' involve a business relationship between director Uwe Boll and actor Billy Zane?""]",yes,yes
"[""Is the movie 'BloodRayne 2006' directed by Boll filmed in Italy?""]",no,yes
"[""Did the filming of 'BloodRayne 2006', directed by Uwe Boll, take place in the Carpathian Mountains of Romania?""]",yes,yes
"[""Is the movie 'BloodRayne 2006' directed by Christopher Nolan?""]",no,no
"[""Did Uwe Boll direct the movie 'BloodRayne 2006'?""]",yes,yes
"Does the movie ""BloodRayne 2006"" have a high approval rating on Rotten Tomatoes?",no,yes
"Is the movie ""BloodRayne 2006"" mentioned on the review aggregator Rotten Tomatoes?",yes,yes
"[""Is the movie 'BloodRayne 2006' from the 1990s?""]",no,yes
"[""Was the movie 'BloodRayne 2006' ranked in Rotten Tomatoes's list of worst reviewed films from the 2000s?""]",yes,yes
"Did the movie ""BloodRayne 2006"" gross over $25 million in June 2006?",no,yes
"Does the movie ""BloodRayne 2006"" have a 4% approval rating on Rotten Tomatoes?",yes,yes
"[""Does the movie 'BloodRayne 2006' have an undistinguished cast?""]",no,yes
"[""Did the film 'BloodRayne 2006' feature a distinguished cast despite its low approval rating and high production budget?""]",yes,yes
"Did the movie ""BloodRayne 2006"" receive a positive reception according to Metacritic?",no,yes
"Did the movie ""BloodRayne 2006"" gross less than its production budget?",yes,yes
"[""Is the movie 'BloodRayne 2006' associated with the critic Roger Ebert?""]",no,yes
"[""Did the film 'BloodRayne 2006' receive a 4% approval rating on Rotten Tomatoes and was associated with Variety critic Joe Leydon?""]",yes,yes
"[""Did the film BloodRayne 2006 receive a 95% approval rating on Rotten Tomatoes according to an article by TV Guide critic Maitland McDonagh?""]",no,yes
"[""Is the film BloodRayne 2006 mentioned in an article by TV Guide critic Maitland McDonagh?""]",yes,yes
"[""Did the movie 'BloodRayne 2006' receive a positive critical reception leading to a continued distribution relationship with Romar?""]",no,no
"[""Was the movie 'BloodRayne 2006' distributed by Romar?""]",yes,yes
,,0.5526315789473685
