Question,Answer,LLAMA_response
"[""Did Joey King portray a character other than Elle Evans in the 2021 movie 'The Kissing Booth 3'?""]",no,yes
"[""Did Joey King portray the character Elle Evans in the 2021 movie 'The Kissing Booth 3'?""]",yes,yes
"[""Is Joey King's character in the 2021 movie 'The Kissing Booth 3' not related to Mrs. Flynn played by Meganne Young?""]",no,yes
"[""In the movie 'The Kissing Booth 3' released in 2021, is Joey King's character Elle Evans the daughter of Mrs. Flynn, played by Meganne Young?""]",yes,yes
"""Did Joel Courtney not play the role of Lee Flynn in the 2021 movie 'The Kissing Booth 3'?""",no,no
"""Is Joel Courtney the actor who played Lee Flynn in 'The Kissing Booth 3' released in 2021?""",yes,no
"[""Did Jacob Elordi play the character of Noah Flynn in 'The Kissing Booth 3' released in 2021?""]",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', was the role of Noah Flynn played by an actor other than Jacob Elordi?""]",no,yes
"[""Is it true that Taylor Zakhar Perez did not portray the character of Marco Valentin Peña in the 2021 movie, The Kissing Booth 3?""]",no,yes
"[""Did Taylor Zakhar Perez play the role of Marco Valentin Peña in the movie The Kissing Booth 3 released in 2021?""]",yes,no
"[""Is it false that Maisie Richardson-Sellers played the character Chloe Winthrop in the 2021 movie 'The Kissing Booth 3'?""]",no,yes
"[""Did Maisie Richardson-Sellers portray the character Chloe Winthrop in the 2021 movie 'The Kissing Booth 3'?""]",yes,yes
"[""Was Meganne Young not a part of the cast, portraying the character Rachel, in the 2021 movie 'The Kissing Booth 3'?""]",no,yes
"[""Did Meganne Young depict the character Rachel in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"""Did Stephen Jennings play the role of Mike Evans in the 2021 movie 'The Kissing Booth 3'?""",yes,no
"""In the movie 'The Kissing Booth 3' released in 2021, was the character Mike Evans played by an actor other than Stephen Jennings?""",no,no
"[""In the 2021 movie 'The Kissing Booth 3', is Chloe Williams's character called something other than Joni Evans?""]",no,no
"[""In 'The Kissing Booth 3' released in 2021, does Chloe Williams play the character named Joni Evans?""]",yes,no
"[""Did Morné Visser play the character of Mr. Flynn in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"[""Was Morné Visser's character in the 2021 movie 'The Kissing Booth 3' named Mrs. Flynn?""]",no,no
"[""Did Bianca Bosch play the character named Olivia in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"[""In 'The Kissing Booth 3' released in 2021, was the character Olivia played by an actor other than Bianca Bosch?""]",no,no
"[""Is the character that Zandile Madliwa played in 'The Kissing Booth 3' (2021) named Jessica?""]",no,no
"[""Did Zandile Madliwa play the character Gwyneth in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"[""Did Camilla Wolfson not portray the character named Mia in the 2021 movie 'The Kissing Booth 3'?""]",no,no
"[""Did Camilla Wolfson portray a character named Mia in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"[""Was the character Brad Evans in the movie 'The Kissing Booth 3' released in 2021 played by an actor named Robert Downey Jr.?""]",no,no
"[""In the 2021 movie 'The Kissing Booth 3', was the character Brad Evans played by Carson White?""]",yes,no
"[""Did Judd Krok play the character named Ollie in 'The Kissing Booth 3' released in 2021?""]",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', was the character Ollie played by an actor other than Judd Krok?""]",no,no
"[""Did Frances Sholto-Douglas play the role of Vivian in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"[""In the 2021 movie 'The Kissing Booth 3', was the character Vivian played by an actor other than Frances Sholto-Douglas?""]",no,no
"[""Is Evan Hengst's character in the 2021 movie 'The Kissing Booth 3' named something other than Miles?""]",no,no
"[""In the movie 'The Kissing Booth 3' released in 2021, is Evan Hengst's character called Miles?""]",yes,no
"[""Is it true that Sanda Shandu did not play the character Randy in the 2021 movie 'The Kissing Booth 3'?""]",no,no
"[""Did Sanda Shandu play the character Randy in the 2021 movie 'The Kissing Booth 3'?""]",yes,no
"[""Did Hilton Pelser not play the role of Barry in the 2021 movie 'The Kissing Booth 3'?""]",no,no
