Question,Answer,LLAMA_response
"[""Did Aaron Eckhart play the role of Dr. Frankenstein in the movie 'I, Frankenstein 2014'?""]",no,yes
"[""Did Aaron Eckhart play the role of Adam Frankenstein in the movie 'I, Frankenstein 2014'?""]",yes,yes
"[""Did Bill Nighy play a character named Naberius in the movie 'I, Frankenstein 2014'?""]",yes,yes
"[""In the movie 'I, Frankenstein 2014', did Bill Nighy portray a character named Charles Wessex who is actually an angel prince?""]",no,no
"[""Is Yvonne Strahovski not a part of the cast in the movie 'I, Frankenstein 2014'?""]",no,yes
"[""Does Yvonne Strahovski play the character of Dr. Terra Wade in the movie 'I, Frankenstein 2014'?""]",yes,yes
"[""Did Miranda Otto play the role of a vampire queen in the movie 'I, Frankenstein 2014'?""]",no,yes
"[""Does Miranda Otto portray the character Leonore, the gargoyle queen, in the movie 'I, Frankenstein 2014'?""]",yes,yes
"[""Did Jai Courtney play the role of Dr. Frankenstein in the movie 'I, Frankenstein 2014'?""]",no,yes
"[""Did Jai Courtney portray the character Gideon, the leader of the gargoyle army, in the movie 'I, Frankenstein 2014'?""]",yes,yes
"[""Did Socratis Otto play a minor character in the movie 'I, Frankenstein 2014'?""]",no,yes
"[""In the movie 'I, Frankenstein 2014', does Socratis Otto appear as Zuriel, Naberius' most formidable warrior?""]",yes,yes
"[""Is Kevin Grevioux the director of the movie 'I, Frankenstein 2014'?""]",no,yes
"[""Does Kevin Grevioux play the character Dekar in the movie 'I, Frankenstein 2014'?""]",yes,yes
"""In the movie 'I, Frankenstein 2014', did Caitlin Stasey play the role of a vampire named Keziah?""",no,no
"""Does Caitlin Stasey play the role of a gargoyle named Keziah in the movie 'I, Frankenstein 2014'?""",yes,no
"Is Mahesh Jadu not a part of the cast in the movie ""I, Frankenstein 2014""?",no,yes
"Does Mahesh Jadu portray a character named Ophir in the movie ""I, Frankenstein 2014""?",yes,yes
"[""Did Nicholas Bell play the role of a character named Carl Avery in the movie 'The Godfather'?""]",no,no
"[""In the movie 'I, Frankenstein 2014', did Nicholas Bell appear as a character named Carl Avery?""]",yes,yes
"[""Is Steve Mouzakis not involved in the movie 'I, Frankenstein 2014' at all?""]",no,yes
"[""Did Steve Mouzakis play the character Helek in the movie 'I, Frankenstein 2014'?""]",yes,yes
,,0.5909090909090909
