Question,Answer,LLAMA_response
"[""Is Kelly Clarkson not a part of the cast in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""In the movie 'From Justin to Kelly 2003', does Kelly Clarkson portray the character of Kelly Taylor?""]",yes,yes
"""Is Justin Guarini not a part of the cast in the movie 'From Justin to Kelly 2003'?""",no,yes
"""Did both Justin Guarini and Justin Bell play lead roles in the movie 'From Justin to Kelly 2003'?""",yes,yes
"[""Is Katherine Bailess not part of the cast in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""In the movie 'From Justin to Kelly 2003', does Katherine Bailess play the character named Alexa?""]",yes,yes
"""Did Anika Noni Rose play the character of Kaya in the movie 'From Justin to Kelly 2003'?""",no,no
"""Is Anika Noni Rose a part of the cast in the movie 'From Justin to Kelly 2003'?""",yes,yes
"[""Did Brian Dietzen play the character Eddie in the movie 'From Justin to Kelly 2003'?""]",yes,no
"[""In the movie 'From Justin to Kelly 2003', is the character Eddie played by an actor other than Brian Dietzen?""]",no,yes
"""In the movie 'From Justin to Kelly 2003', does Greg Siff play the role of a character named John?""",no,yes
"""Does Greg Siff enact the role of Brandon in the movie 'From Justin to Kelly 2003'?""",yes,yes
"[""Is Carlos, a character in 'From Justin to Kelly 2003', portrayed by an actor other than Jason Yribar?""]",no,yes
"[""In the movie 'From Justin to Kelly 2003', is the character Carlos portrayed by Jason Yribar?""]",yes,yes
"[""Does Christopher Bryan play the part of a character named John in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""In the movie 'From Justin to Kelly 2003', does Christopher Bryan play the part of Luke?""]",yes,yes
"[""Is Theresa San-Nicholas not part of the cast in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""Does Theresa San-Nicholas depict Officer Cutler in the movie 'From Justin to Kelly 2003'?""]",yes,yes
"[""Is Justin Gorence not a character in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""Are both Justin Gorence and Greg characters in the movie 'From Justin to Kelly 2003'?""]",yes,yes
"[""Did Kaitlin Riley play the role of a character named Jessica in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""In the movie 'From Justin to Kelly 2003', is the role of Ashley played by Kaitlin Riley?""]",yes,yes
"[""Did Marc Macaulay play the role of Mr. O'Mara in a different movie other than 'From Justin to Kelly 2003'?""]",no,yes
"[""In the movie 'From Justin to Kelly 2003', did Marc Macaulay act as the character named Mr. O'Mara?""]",yes,no
"[""Did Jessica Sutta play the character of Nadine in the movie 'From Justin to Kelly 2003'?""]",yes,yes
"[""In the movie 'From Justin to Kelly 2003', was the character Nadine portrayed by a different actress other than Jessica Sutta?""]",no,yes
"[""Did Zachary Woodlee play the lead role in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""Did Zachary Woodlee perform as one of the featured dancers in 'From Justin to Kelly 2003'?""]",yes,no
"[""Is Robert Hoffman not featured in the movie 'From Justin to Kelly 2003'?""]",no,yes
"[""Does Robert Hoffman play the role of a featured dancer in the movie 'From Justin to Kelly 2003'?""]",yes,yes
,,0.43333333333333335
