text|source|chunk_id
"Barbie[a] is a 2023 fantasy comedy film directed by Greta Gerwig from a screenplay she wrote with Noah Baumbach. Based on the eponymous fashion dolls by Mattel, it is the first live-action Barbie film after numerous animated films and specials. Starring Margot Robbie as the title character and Ryan Gosling as Ken, the film follows them on a journey of self-discovery through Barbieland and the real world following an existential crisis. It is also a commentary regarding patriarchy and the effects of feminism. The supporting cast includes America Ferrera, Michael Cera, Kate McKinnon, Issa Rae, Rhea Perlman, and Will Ferrell.

A live-action Barbie film was announced in September 2009 by Universal Pictures with Laurence Mark producing. Development began in April 2014, when Sony Pictures acquired the film rights. Following multiple writer and director changes and the casting of Amy Schumer and later Anne Hathaway as Barbie, the rights were transferred to Warner Bros. Pictures in October 2018. Robbie was cast in 2019, after Gal Gadot turned down the role due to scheduling conflicts, and Gerwig was announced as director and co-writer with Baumbach in 2020. The rest of the cast was announced in early 2022. Principal photography occurred primarily at Warner Bros. Studios, Leavesden, England, and at the Venice Beach Skatepark in Los Angeles from March to July 2022."|data_input/cureus/movie.txt|e8067c8e318747e39992f7a3266ea690
"Barbie premiered at the Shrine Auditorium in Los Angeles on July 9, 2023, and was released in the United States on July 21. Its concurrent release with Universal Pictures' Oppenheimer was the catalyst of the ""Barbenheimer"" phenomenon, encouraging audiences to see both films as a double feature."|data_input/cureus/movie.txt|2fc5f5b87fc347ec903e782892aef6e9
"The film grossed $1.446 billion and achieved several milestones, including the highest-grossing film of 2023, the highest-grossing film ever released by Warner Bros., and the 14th-highest-grossing film of all time. Named one of the top 10 films of 2023 by the National Board of Review and the American Film Institute, it received critical acclaim and other accolades, including eight Academy Award nominations (among them Best Picture), winning Best Original Song for ""What Was I Made For?""; the song also won Golden Globe Award for Best Original Song while Barbie was awarded Golden Globe Award for Cinematic and Box Office Achievement.Barbie (""Stereotypical Barbie"") and fellow dolls reside in Barbieland, a matriarchal society populated by different versions of Barbies, Kens, and a group of discontinued models who are treated like outcasts due to their unconventional traits. While the Kens spend their days playing at the beach, considering it their profession, the Barbies hold prestigious jobs in law, science, politics, and so on. Ken (""Beach Ken"") is only happy when he is with Barbie, and he seeks a closer relationship with her, but she rebuffs him in favor of other activities and female friendships."|data_input/cureus/movie.txt|846639176b0543b28a09e243b07f95e9
"One evening at a dance party, Barbie is suddenly stricken with worries about mortality. Overnight, she develops bad breath, cellulite, and flat feet, disrupting her routines and impairing the aura of classic perfection experienced by the Barbies. Weird Barbie, a disfigured doll, tells Barbie to find the child playing with her in the real world to cure her afflictions. Barbie follows the advice and she travels to the real world, with Ken joining Barbie by stowing away in her convertible.

After arriving in Venice Beach, Barbie punches a man after he gropes her. Barbie and Ken are briefly arrested. Alarmed by the dolls' presence in the real world, the CEO of Mattel orders their recapture. Barbie tracks down her owner, a teenage girl named Sasha, who criticizes Barbie for encouraging unrealistic beauty standards. Distraught, Barbie discovers that Gloria, a Mattel employee and Sasha's mother, inadvertently caused Barbie's existential crisis after Gloria began playing with Sasha's old Barbie dolls. Mattel attempts to put Barbie in a toy box for remanufacturing, but she escapes with Gloria and Sasha's help, and the three travel to Barbieland with Mattel executives in pursuit."|data_input/cureus/movie.txt|30badf412d3f4a599dd0e2584303af28
"Meanwhile, Ken learns about patriarchy and feels respected for the first time. He returns to Barbieland to persuade the other Kens to take over. The Kens indoctrinate the Barbies into submissive roles, such as agreeable girlfriends, housewives, and maids. Barbie arrives and attempts to convince the Barbies to be independent again. When her attempts fail, she becomes depressed. Gloria expresses her frustration with the conflicting standards women are forced to follow in the real world. Gloria's speech restores Barbie's confidence.

With the assistance of Sasha, Weird Barbie, Allan, and the discontinued dolls, Gloria uses her knowledge from the real world to deprogram the Barbies from their indoctrination. The Barbies then manipulate the Kens into fighting among themselves, which distracts them from enshrining male superiority into Barbieland's constitution, allowing the Barbies to regain power. Having now experienced systemic oppression for themselves, the Barbies resolve to rectify the faults of their previous society, emphasizing better treatment of the Kens and all outcasts."|data_input/cureus/movie.txt|eedda6c159064bff9a604e645180def2
"Barbie and Ken apologize to each other, acknowledging their past mistakes. When Ken bemoans his lack of purpose without Barbie, she encourages him to find an autonomous identity. Barbie, who remains unsure of her own identity, meets with the spirit of Ruth Handler, Mattel co-founder and creator of the Barbie doll, who explains that Barbie's story has no set ending and her ever-evolving history surpasses her roots.

After bidding goodbye to the Barbies, Kens, and Mattel executives, Barbie decides to become human and return to the real world. Some time later, Gloria, her husband, and Sasha take Barbie, now going by the name ""Barbara Handler"", to her first gynecologist appointment.

Tanner, a discontinued toy dog known for his defecating feature that lives with Weird Barbie, makes a non-speaking appearance.[29]"|data_input/cureus/movie.txt|c275dcd6c1674f2d909ad81ef813ff6b
"Tanner, a discontinued toy dog known for his defecating feature that lives with Weird Barbie, makes a non-speaking appearance.[29]

The concept of a live-action Barbie film was in development at Cannon Films in the mid-1980s.[39] Renewed development on a film based on the Barbie toy line began in September 2009, when it was announced that Mattel had signed a partnership with Universal Pictures and producer Laurence Mark, but nothing came to fruition.[40] In April 2014, Mattel teamed with Sony Pictures to produce the film, which would have Jenny Bicks writing the screenplay and Laurie MacDonald and Walter F. Parkes producing through their Parkes+MacDonald Image Nation banner. Filming was anticipated to begin by the end of the year.[41] In March 2015, Diablo Cody was brought onto the project to rewrite the screenplay, and Amy Pascal joined the producing team.[42] Sony ordered further rewrites by Lindsey Beer, Bert V. Royal and Hillary Winston, who submitted separate drafts.[43]"|data_input/cureus/movie.txt|83c1bac7aba046f6bba33ae4f4b67c16
In December 2016, Amy Schumer entered negotiations for the title role with Winston's screenplay. She helped rewrite the script with her sister, Kim Caramele.[44] In March 2017, she exited negotiations, initially saying it was due to scheduling conflicts with the planned June 2017 filming; she revealed in 2023 that she left due to creative differences with the film's producers.[45][46] That July, Anne Hathaway was considered for the title role; Sony hired Olivia Milch to rewrite the screenplay and approached Alethea Jones to direct as a means of interesting Hathaway in signing.[47] Jones was attached to direct by March 2018.[48]|data_input/cureus/movie.txt|f5958e6d52cc4f1dbb622201bda69b1f
In August 2018, Mattel CEO Ynon Kreiz hired film executive Robbie Brenner, who was later appointed head of Mattel Films.[49][50] Sony's option on the project expired in October 2018, and film rights were transferred to Warner Bros. Pictures, causing Hathaway, Jones, Macdonald, Parkes and Pascal to leave the project. Margot Robbie entered early talks for the role, and Patty Jenkins was briefly considered as director.[51] Kreiz was determined to cast Robbie after meeting with her; both he and Brenner felt that Robbie's appearance resembled that of a conventional Barbie doll and were impressed by her ideas. Initial meetings occurred at the Polo Lounge located in The Beverly Hills Hotel.[52][50] Brenner eventually partnered with Robbie's production company, LuckyChap Entertainment, and Robbie's husband Tom Ackerley and Josey McNamara were enlisted as producers.[49][50] Robbie's casting was confirmed in July 2019.[10]|data_input/cureus/movie.txt|9013b3a4f75442a1a903c4a628c8d5b3
"In her capacity as a producer, Robbie pitched Barbie to Warner Bros. herself. During the green-light meeting, she compared the film to Steven Spielberg's Jurassic Park (1993) and also jokingly suggested that it would gross over $1 billion.[53] Later on, she approached Greta Gerwig—whose previous films, particularly Little Women (2019), Robbie enjoyed—to screenwrite. Gerwig was in post-production for another film, and took the assignment on the condition that her partner, Noah Baumbach, also write the script.[54][55] Gerwig would sign on to also direct the film in July 2021.[56] Robbie said the film aimed at subverting expectations and giving audiences ""the thing you didn't know you wanted"".[57] In August 2023, Variety revealed that she would earn ""roughly $50 million in salary and box office bonuses"" as star and producer.[58]"|data_input/cureus/movie.txt|7637f97d01934b02b4315cde85e93dd3
