node_1|node_2|edge|chunk_id|node_3
barbie|live-action barbie film|Barbie is a character and the main focus of the movie, while 'live-action Barbie film' refers to the entire movie.|e8067c8e318747e39992f7a3266ea690|
barbie|mattel|Barbie is a product of Mattel, which produces various dolls.|e8067c8e318747e39992f7a3266ea690|
barbie|eponymous fashion dolls|Barbie is the title character and the main focus of the movie, based on eponymous fashion dolls by Mattel.|e8067c8e318747e39992f7a3266ea690|
margot robbie|barbie|Margot Robbie is cast as the title character Barbie in the movie.|e8067c8e318747e39992f7a3266ea690|
ryan gosling|ken|Ryan Gosling plays the role of Ken, who is related to Barbie in the context.|e8067c8e318747e39992f7a3266ea690|
barbieland|real world|Barbie and Ken go on a journey of self-discovery through Barbieland and the real world following an existential crisis.|e8067c8e318747e39992f7a3266ea690|
barbie|patriarchy|Barbie is related to the theme of patriarchy as the film explores its effects on women.|e8067c8e318747e39992f7a3266ea690|
feminism|barbie|Barbie is a commentary regarding patriarchy and the effects of feminism.|e8067c8e318747e39992f7a3266ea690|
barbie|shrine auditorium|Barbie premiered at the Shrine Auditorium in Los Angeles on July 9, 2023.|2fc5f5b87fc347ec903e782892aef6e9|
barbie|united states|Its concurrent release with Universal Pictures' Oppenheimer was the catalyst of the 'Barbenheimer' phenomenon, encouraging audiences to see both films as a double feature. Barbie was released in the United States on July 21.|2fc5f5b87fc347ec903e782892aef6e9|
shrine auditorium|los angeles|The Shrine Auditorium is located in Los Angeles, where Barbie premiered on July 9, 2023.|2fc5f5b87fc347ec903e782892aef6e9|
barbie|barbieland|Barbie resides in Barbieland, a society populated by different versions of Barbies and Kens.|846639176b0543b28a09e243b07f95e9|
ken|barbie|Ken seeks a closer relationship with Barbie, but she rebuffs him in favor of other activities and female friendships.|846639176b0543b28a09e243b07f95e9|
barbies|law|The Barbies hold prestigious jobs in law.|846639176b0543b28a09e243b07f95e9|
barbies|science|The Barbies hold prestigious jobs in science.|846639176b0543b28a09e243b07f95e9|
barbies|politics|The Barbies hold prestigious jobs in politics.|846639176b0543b28a09e243b07f95e9|
kens|beach|The Kens spend their days playing at the beach, considering it their profession.|846639176b0543b28a09e243b07f95e9|
barbie ('stereotypical barbie')|discontinued models|Barbie and fellow dolls reside in Barbieland, where discontinued models are treated like outcasts due to their unconventional traits.|846639176b0543b28a09e243b07f95e9|
barbie|mortality|Overnight, Barbie develops bad breath, cellulite, and flat feet due to worries about mortality.|30badf412d3f4a599dd0e2584303af28|
weird barbie|barbie|Weird Barbie, a disfigured doll, advises Barbie to find the child playing with her in the real world to cure her afflictions.|30badf412d3f4a599dd0e2584303af28|
venice beach|barbie|Barbie travels to Venice Beach after following Weird Barbie's advice.|30badf412d3f4a599dd0e2584303af28|
ken|barbie|Ken joins Barbie by stowing away in her convertible on their journey to Venice Beach.|30badf412d3f4a599dd0e2584303af28|
mattel ceo|barbie|Alarmed by the dolls' presence in the real world, the CEO of Mattel orders their recapture.|30badf412d3f4a599dd0e2584303af28|
sasha|barbie|Barbie tracks down her owner, a teenage girl named Sasha.|30badf412d3f4a599dd0e2584303af28|
gloria|mortality|Gloria inadvertently caused Barbie's existential crisis after playing with Sasha's old Barbie dolls.|30badf412d3f4a599dd0e2584303af28|
barbieland|barbie|The three (Barbie, Gloria, and Sasha) travel to Barbieland with Mattel executives in pursuit.|30badf412d3f4a599dd0e2584303af28|
ken|patriarchy|Meanwhile, Ken learns about patriarchy|eedda6c159064bff9a604e645180def2|
ken|respect|feels respected for the first time|eedda6c159064bff9a604e645180def2|
barbieland|kens|The Kens indoctrinate the Barbies into submissive roles, such as agreeable girlfriends, housewives, and maids.|eedda6c159064bff9a604e645180def2|
barbie|independent|Barbie arrives and attempts to convince the Barbies to be independent again.|eedda6c159064bff9a604e645180def2|
barbie|depressed|When her attempts fail, she becomes depressed.|eedda6c159064bff9a604e645180def2|
gloria|frustration|Gloria expresses her frustration with the conflicting standards women are forced to follow in the real world.|eedda6c159064bff9a604e645180def2|
barbie|confidence|Gloria's speech restores Barbie's confidence.|eedda6c159064bff9a604e645180def2|
sasha|allan|With the assistance of Sasha, Weird Barbie, Allan, and the discontinued dolls,|eedda6c159064bff9a604e645180def2|discontinued dolls
gloria|knowledge|uses her knowledge from the real world to deprogram the Barbies from their indoctrination.|eedda6c159064bff9a604e645180def2|real world
barbies|outcasts|Having now experienced systemic oppression for themselves, the Barbies resolve to rectify the faults of their previous society, emphasizing better treatment of the Kens and all outcasts.|eedda6c159064bff9a604e645180def2|
barbie|ken|apologize to each other, acknowledging their past mistakes|c275dcd6c1674f2d909ad81ef813ff6b|
barbie|ken|When Ken bemoans his lack of purpose without Barbie, she encourages him to find an autonomous identity.|c275dcd6c1674f2d909ad81ef813ff6b|
barbie|ruth handler|Meets with the spirit of Ruth Handler, Mattel co-founder and creator of the Barbie doll, who explains that Barbie's story has no set ending and her ever-evolving history surpasses her roots.|c275dcd6c1674f2d909ad81ef813ff6b|
barbie|gloria|"Decides to become human and return to the real world. Some time later, Gloria, her husband, and Sasha take Barbie, now going by the name ""Barbara Handler"", to her first gynecologist appointment."|c275dcd6c1674f2d909ad81ef813ff6b|
tanner|weird barbie|Makes a non-speaking appearance.|c275dcd6c1674f2d909ad81ef813ff6b|
barbie|live-action barbie film|In September 2009, it was announced that Mattel had signed a partnership with Universal Pictures and producer Laurence Mark to develop a live-action Barbie film. The project later moved to Sony Pictures in April 2014, with Jenny Bicks writing the screenplay and Laurie MacDonald and Walter F. Parkes producing through their Parkes+MacDonald Image Nation banner. Filming was anticipated to begin by the end of that year.|83c1bac7aba046f6bba33ae4f4b67c16|
