node_1,node_2,edge,chunk_id,node_3,node_4,intermediate,count
bajirao i,maratha peshwa,Bajirao I was a renowned Maratha Peshwa during the 18th century.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
bajirao mastani,bajirao i,"The film Bajirao Mastani is based on the story of the Maratha Peshwa Bajirao I and his second wife, Mastani.",3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
ranveer singh,bajirao i,Ranveer Singh portrays the role of Bajirao I in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
deepika padukone,mastani,"Deepika Padukone plays the role of Mastani, who was the second wife of Bajirao I.",3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
priyanka chopra,supporting role,Priyanka Chopra has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
tanvi azmi,supporting role,Tanvi Azmi has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
vaibhav tatwawaadi,supporting role,Vaibhav Tatwawaadi has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
milind soman,supporting role,Milind Soman has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
mahesh manjrekar,supporting role,Mahesh Manjrekar has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
aditya pancholi,supporting role,Aditya Pancholi has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
sanjay leela bhansali,director,Sanjay Leela Bhansali is the director of the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
eros international,co-producer,"Eros International is the co-producer of the film Bajirao Mastani, which was also directed by Sanjay Leela Bhansali.",3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
ranveer singh,actor,Ranveer Singh is an actor who portrayed the role of Bajirao I in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
deepika padukone,actress,Deepika Padukone is an actress who played the role of Mastani in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
priyanka chopra,actress,Priyanka Chopra is an actress who has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
tanvi azmi,actress,Tanvi Azmi is an actress who has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
vaibhav tatwawaadi,actor,Vaibhav Tatwawaadi is an actor who has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
milind soman,actor,Milind Soman is an actor who has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
mahesh manjrekar,actor,Mahesh Manjrekar is an actor who has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
aditya pancholi,actor,Aditya Pancholi is an actor who has a supporting role in the film Bajirao Mastani.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
film city,location,Some portions of the film Bajirao Mastani were filmed on location at Film City.,3494bb33a2f94c0a85ccdc58bfbb5b3b,,,,4
bajirao,shahu's court,"The court of Maratha Chhatrapati Shahu needed a new Peshwa in 1720, and Ambaji Pant Purandare nominated Bajirao. This indicates that Bajirao was a significant figure in Shahu's court.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
bajirao,peshwa title,"Bajirao received the Peshwa title after successfully splitting a peacock feather with an arrow, as requested by the court of Maratha Chhatrapati Shahu.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
kashibai,bajirao,"Kashibai was married to Bajirao, indicating a close relationship between the two characters.",319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
bhanu,bajirao,Bhanu's husband was accused of spying and ordered to be executed by Bajirao. This indicates that Bajirao had authority over executing accusations.,319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
kashibai,bhanu,Kashibai's friend Bhanu visited her and predicted that she would yearn for Bajirao just as Bhanu yearned for her husband.,319a1188bf6d4f5192ca1edc9c4b2eb6,,,,4
