node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,count
kapoor & sons (since 1921),kapoor & sons,"The film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
rishi kapoor,kapoor & sons (since 1921),"Rishi Kapoor is a part of the film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), which is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
sidharth malhotra,kapoor & sons (since 1921),"Sidharth Malhotra is a part of the film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), which is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
fawad khan,kapoor & sons (since 1921),"Fawad Khan is a part of the film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), which is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
aliya bhatt,kapoor & sons (since 1921),"Aliya Bhatt is a part of the film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), which is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
ratna pathak shah,kapoor & sons (since 1921),"Ratna Pathak Shah is a part of the film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), which is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
rajat kapoor,kapoor & sons (since 1921),"Rajat Kapoor is a part of the film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), which is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
kapoor & sons (since 1921),indian hindi language,"The film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
kapoor & sons (since 1921),family-drama,"The film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
kapoor & sons (since 1921),bollywood,"The film Kapoor & Sons, also known as Kapoor & Sons (Since 1921), is a 2016 Indian Hindi language family-drama film directed by Shakun Batra and produced by Hiroo Yash Johar, Karan Johar and Apoorva Mehta under Dharma Productions, with Fox Star Studios serving as distributor and co-producer.",ecc081372962422d931b4c9232516ffa,,,,,4
