node_1,node_2,edge,chunk_id,node_3,edge_1,edge_2,count
neerja,bhanot,Neerja Bhanot was the eponymous lead of the film.,038c960c98734bf28ab63c4222606e4b,,,,4
real-life event,pan am flight 73 hijacking attempt,"The plot is based on a real-life event: the attempted hijacking of Pan Am Flight 73 in Karachi, Pakistan by Libyan-backed Abu Nidal Organization on 5 September 1986.",038c960c98734bf28ab63c4222606e4b,,,,4
film,neerja,The film 'Neerja' is the name of the movie discussed in this context.,038c960c98734bf28ab63c4222606e4b,,,,4
director,ram madhvani,The film 'Neerja' was directed by Ram Madhvani.,038c960c98734bf28ab63c4222606e4b,,,,4
production company,bling unplugged,Bling Unplugged is the production company that produced 'Neerja' alongside Fox Star Studios.,038c960c98734bf28ab63c4222606e4b,,,,4
sonam kapoor,neerja,"The film stars Sonam Kapoor as the eponymous lead, Neerja Bhanot.",038c960c98734bf28ab63c4222606e4b,,,,4
supporting roles,"shekhar ravjiani, shabana azmi, yogendra tiku, kavi shastri and jim sarbh","The film 'Neerja' also features Shekhar Ravjiani, Shabana Azmi, Yogendra Tiku, Kavi Shastri and Jim Sarbh in supporting roles.",038c960c98734bf28ab63c4222606e4b,,,,4
music director,vishal khurana,The film 'Neerja' features music by Vishal Khurana.,038c960c98734bf28ab63c4222606e4b,,,,4
lyrics writer,prasoon joshi,The lyrics of the songs in 'Neerja' were written by Prasoon Joshi.,038c960c98734bf28ab63c4222606e4b,,,,4
critical acclaim,neerja,'Neerja' received critical acclaim.,038c960c98734bf28ab63c4222606e4b,,,,4
highest grossing bollywood film,female protagonist,The film 'Neerja' became one of the highest grossing Bollywood films featuring a female protagonist.,038c960c98734bf28ab63c4222606e4b,,,,4
neerja bhanot,pan am 73,Neerja Bhanot boards Pan Am 73 from Mumbai to New York with stops in Karachi and Frankfurt.,de68bac97e4d4d85b5e5620c9d12172c,,,,4
neerja bhanot,chhatrapati shivaji maharaj international airport,Neerja Bhanot is driven to Chhatrapati Shivaji Maharaj International Airport by her friend Jaideep.,de68bac97e4d4d85b5e5620c9d12172c,,,,4
neerja bhanot,naresh,Neerja Bhanot left Naresh and landed a job with Pan Am Airways after receiving a letter from him complaining about the dowry and her lack of domestic skills.,de68bac97e4d4d85b5e5620c9d12172c,,,,4
pan am 73,mumbai,Pan Am 73 departs from Mumbai with Neerja Bhanot on board.,de68bac97e4d4d85b5e5620c9d12172c,,,,4
pan am 73,karachi,Pan Am 73 stops in Karachi during its flight from Mumbai to New York.,de68bac97e4d4d85b5e5620c9d12172c,,,,4
pan am 73,frankfurt,Pan Am 73 stops in Frankfurt during its flight from Mumbai to New York.,de68bac97e4d4d85b5e5620c9d12172c,,,,4
neerja bhanot,rama,"Neerja Bhanot's mother, Rama, expresses concern about Neerja's job as a flight attendant during a house party.",de68bac97e4d4d85b5e5620c9d12172c,,,,4
rama,neerja bhanot,"Neerja Bhanot's mother, Rama, suggests that Neerja should return to her old modeling career instead of working as a flight attendant.",de68bac97e4d4d85b5e5620c9d12172c,,,,4
neerja bhanot,national film awards,"Neerja received 2 awards at the National Film Awards, including Best Feature Film in Hindi and Special Mention (Neerja Bhanot).",de68bac97e4d4d85b5e5620c9d12172c,,,,4
neerja bhanot,filmfare awards,"Neerja received 8 nominations at the Filmfare Awards, including Best Film and Best Director (Ram Madhvani), and won a leading 6 awards, including Best Film (Critics) and Best Actress (Critics).",de68bac97e4d4d85b5e5620c9d12172c,,,,4
abu nidal organisation,libyan sponsorship,The Abu Nidal organisation is a Libyan-sponsored terrorist group.,3d220b3ba3f446c694c22604397325b9,,,,4
airport,jinnah international airport,The Abu Nidal organisation plans to hijack the plane in the Jinnah International Airport.,3d220b3ba3f446c694c22604397325b9,,,,4
terrorists,abu nidal organization members,"The four terrorists, disguised as security officers escorting a Libyan diplomat, are members of the Abu Nidal organisation.",3d220b3ba3f446c694c22604397325b9,,,,4
passengers,american passengers,The hijackers try to locate a radio engineer among the passengers by ordering Neerja to announce over the intercom. The terrorists have the flight attendants collect all passports to identify the American passengers and hold them hostage.,3d220b3ba3f446c694c22604397325b9,,,,4
passenger,american passenger,"When a Kenyan-born Indian American passenger reveals himself as an American, one of the terrorists murders him and dumps his body off the aircraft in front of the Pakistani negotiators.",3d220b3ba3f446c694c22604397325b9,,,,4
pilots,three american pilots,"The three American pilots escape through the overhead hatch, fleeing to the terminal under fire from the hijackers. The American pilots had just enough time to escape, as the hijackers did not realise that the cockpit of a Boeing 747 is on the upper level.",3d220b3ba3f446c694c22604397325b9,,,,4
passenger,british passenger,"When Imran Ali, a Pakistani radio engineer, begins to stand up, Neerja signals for him to sit down. The terrorists take a British passenger hostage instead.",3d220b3ba3f446c694c22604397325b9,,,,4
passport,american passports,"The flight attendants comply, disposing of any American passports by throwing them down trash chutes or hiding them under seats. Dejected over not finding any American passports, the hijackers instead take a British passenger hostage.",3d220b3ba3f446c694c22604397325b9,,,,4
ali,hijackers,"The Pakistani negotiators inadvertently reveal the name of radio engineer Ali, whom the hijackers bring to the cockpit to use the radio for negotiations.",3b7666ed2a574648afa8de2ca18b5e1c,,,,4
ali,younger terrorist,"The younger terrorist storms into the cockpit and shoots Ali, screaming wild threats over the radio.",3b7666ed2a574648afa8de2ca18b5e1c,,,,4
negotiators,hijackers,"While negotiations with the Pakistani air controllers drag on, the negotiators slowly lose control of the situation, with the hijackers becoming more agitated by the minute.",3b7666ed2a574648afa8de2ca18b5e1c,,,,4
