node_1,node_2,edge,chunk_id,source,count
my name is khan,drama film,"is a type of drama, specifically a narrative form that portrays conflict situations and usually involves a resolved conclusion.",0559f47431b44ea0b5cd62ba856d73ac,,4
karan johar,director,is a person who supervises and manages the creative aspects of filmmaking or video production.,0559f47431b44ea0b5cd62ba856d73ac,,4
shah rukh khan,lead role,"is a significant character in a play, movie, television show, or other performance medium.",0559f47431b44ea0b5cd62ba856d73ac,,4
kajol,lead role,"is a significant character in a play, movie, television show, or other performance medium.",0559f47431b44ea0b5cd62ba856d73ac,,4
india,co-production location,is a country involved in the production process of the film.,0559f47431b44ea0b5cd62ba856d73ac,,4
united states,co-production location,is a country involved in the production process of the film.,0559f47431b44ea0b5cd62ba856d73ac,,4
hong kong,co-production location,is a country involved in the production process of the film.,0559f47431b44ea0b5cd62ba856d73ac,,4
autism,rizvan khan,"is a neurological disorder characterized by impaired social interaction and communication, as well as restricted and repetitive behavior.",0559f47431b44ea0b5cd62ba856d73ac,,4
mandira rathod khan,kajol's character name,is the name given to a female character in the film.,0559f47431b44ea0b5cd62ba856d73ac,,4
september 11 attacks,islamophobic discrimination,"is a form of prejudice and intolerance against Muslims and Islam, often expressed as hate speech or hate crimes.",0559f47431b44ea0b5cd62ba856d73ac,,4
president,rizvan khan's intended destination,"is a political leader of a country, state, or organization.",0559f47431b44ea0b5cd62ba856d73ac,,4
shibani bathija,co-writer,is a person who collaborates with other writers to create the script for a film or television show.,0559f47431b44ea0b5cd62ba856d73ac,,4
niranjan iyengar,co-writer,is a person who collaborates with other writers to create the script for a film or television show.,0559f47431b44ea0b5cd62ba856d73ac,,4
dharma productions,production company,is an organization involved in the production process of the film.,0559f47431b44ea0b5cd62ba856d73ac,,4
red chillies entertainment,production company,is an organization involved in the production process of the film.,0559f47431b44ea0b5cd62ba856d73ac,,4
los angeles,filming location,is a place where the filming process takes place.,0559f47431b44ea0b5cd62ba856d73ac,,4
mumbai,filming location,is a place where the filming process takes place.,0559f47431b44ea0b5cd62ba856d73ac,,4
san francisco,filming location,is a place where the filming process takes place.,0559f47431b44ea0b5cd62ba856d73ac,,4
shankar–ehsaan–loy,soundtrack composers,are individuals who create the music for a film or television show.,0559f47431b44ea0b5cd62ba856d73ac,,4
my name is khan,united arab emirates,"First premiered in the United Arab Emirates on February 10, 2010.",03e7bbd365c342a2a23aa689e7378a7b,,4
