node_1,node_2,edge,chunk_id,relation,count
taare zameen par,dyslexic,"The film explores the life of a dyslexic child named Ishaan, making Taare Zameen Par and dyslexic related concepts.",90fcc7a3affc455f9f2bb7a820d3d1a9,,4
ishaan,dyslexia,"Ishaan's poor academic performance leads his parents to send him to a boarding school, where a new art teacher Nikumbh suspects that he is dyslexic and helps him overcome his reading disorder.",90fcc7a3affc455f9f2bb7a820d3d1a9,,4
aamir khan,nikumbh,"Aamir Khan plays the role of Nikumbh, a new art teacher who suspects that Ishaan is dyslexic and helps him overcome his reading disorder.",90fcc7a3affc455f9f2bb7a820d3d1a9,,4
darsheel safary,ishaan,"Darsheel Safary plays the role of Ishaan, a dyslexic child whose poor academic performance leads his parents to send him to a boarding school.",90fcc7a3affc455f9f2bb7a820d3d1a9,,4
shankar–ehsaan–loy,score,Shankar–Ehsaan–Loy composed the score for Taare Zameen Par.,90fcc7a3affc455f9f2bb7a820d3d1a9,,4
prasoon joshi,lyrics,Prasoon Joshi wrote the lyrics for many of the songs in Taare Zameen Par.,90fcc7a3affc455f9f2bb7a820d3d1a9,,4
taare zameen par,dyslexic children,"The film helped raise awareness about dyslexia, making it related to dyslexic children and Taare Zameen Par.",90fcc7a3affc455f9f2bb7a820d3d1a9,,4
ram shankar nikumbh,tulips school,Ram is an instructor at Tulips School,2473d4161f4f425aafb53a0c27762906,,4
ram shankar nikumbh,boarding school,Ram joins the Boarding School's temporary art teacher,2473d4161f4f425aafb53a0c27762906,,4
ram shankar nikumbh,ishaan,Ram notes Ishaan's unhappiness after failing to draw anything during the class due to academic shortcomings indicative of dyslexia,2473d4161f4f425aafb53a0c27762906,,4
holkar,boarding school's former art teacher,Ram replaces Holkar as the Boarding School's temporary art teacher,2473d4161f4f425aafb53a0c27762906,,4
ishaan,dyslexia,"Ishaan's academic shortcomings are indicative of dyslexia, noted by Ram",2473d4161f4f425aafb53a0c27762906,,4
maya,ishaan's mother,"Ram visits Ishaan's house in Mumbai and is surprised to discover Ishaan's hidden interest in art, along with Maya",2473d4161f4f425aafb53a0c27762906,,4
yohaan,ishaan's brother,"Ram visits Ishaan's house in Mumbai and is surprised to discover Ishaan's hidden interest in art, along with Maya and Yohaan",2473d4161f4f425aafb53a0c27762906,,4
nandkishore,intellectual disability,Nandkishore labels Ishaan's dyslexia as an intellectual disability (as well as excuse) and dismisses it as laziness much to Ram's frustration,2473d4161f4f425aafb53a0c27762906,,4
dyslexia,poverty in sports skills,"Ram demonstrates to Maya and Yohaan how Ishaan has extreme difficulty in understanding letters and words due to dyslexia, and his poverty in sports skills stems from his poor motor ability (which also applies to his difficulty in tying shoelaces and judging the size, speed, and distance of a ball)",2473d4161f4f425aafb53a0c27762906,,4
dyslexia,ram,Ram brings up the topic of dyslexia in a class and offers a list of famous dyslexic people. Ram comforts Ishaan and shares that he struggled with dyslexia as a child.,fcd643f610cf484c8612a5098a885eaf,,4
dyslexia,ishaan,Ram becomes Ishaan's tutor to improve his reading and writing skills using remedial techniques developed by dyslexia specialists.,fcd643f610cf484c8612a5098a885eaf,,4
dyslexia,nandkishore,"Nandkishore learns about dyslexia and understands the condition, but what Ishaan needs more than understanding is someone who loves him.",fcd643f610cf484c8612a5098a885eaf,,4
ishaan,ram,Ram comforts Ishaan when discussing dyslexia in a class and becomes his tutor to improve his reading and writing skills using remedial techniques developed by dyslexia specialists.,fcd643f610cf484c8612a5098a885eaf,,4
dyslexia,lalita lajmi,"Ram organises an arts and crafts contest for the staff and students, judged by artist Lalita Lajmi.",fcd643f610cf484c8612a5098a885eaf,,4
